Genre,Reports,Age,Gpa,Year,Count,Gender,Translate
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,27,2.18,2,1,M,Terbatasnya akses terhadap database dan materi penelitian menyebabkan banyak frustrasi di kalangan mahasiswa. Kita membutuhkan akses yang lebih baik untuk dapat berhasil secara akademis.
Academic Support and Resources,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,23,3.11,2,1,F,Saya kesulitan menemukan materi pelajaran yang saya perlukan untuk kelas saya. Perpustakaan tidak memilikinya dan toko buku selalu terjual habis.
Academic Support and Resources,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,20,3.68,2,1,F,Sungguh membuat frustasi karena terbatasnya akses terhadap database dan materi penelitian ketika saya mencoba menulis makalah atau mengerjakan sebuah proyek. Saya merasa dirugikan dibandingkan dengan siswa di sekolah lain.
Academic Support and Resources,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,20,1.3,2,1,F,Saya benar-benar kesulitan di salah satu kelas saya tetapi saya tidak bisa membuat janji dengan penasihat akademis saya selama berminggu-minggu. Itu membuat saya merasa tidak ada yang peduli dengan kesuksesan saya.
Academic Support and Resources,I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,26,2.5,2,1,F,Saya benar-benar kesulitan memahami instruksi untuk tugas ini. Itu tidak jelas dan saya tidak tahu apa yang diharapkan dari saya.
Academic Support and Resources,The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,22,2.79,2,1,F,Sistem penilaian dalam kursus ini tidak adil dan tidak konsisten. Sepertinya profesor memilih favorit dan tidak memberikan kesempatan yang adil kepada semua orang.
Academic Support and Resources,I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,24,3.5,2,1,F,Saya berharap profesor saya akan memberi kami lebih banyak umpan balik pada tugas kami. Saya tidak tahu apa yang saya lakukan salah dan saya tidak dapat berkembang tanpa kritik yang membangun.
Academic Support and Resources,The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,20,1.11,2,1,M,Kualitas pengajaran dalam kursus ini sangat buruk. Dosen terlihat tidak mempedulikan materi atau mahasiswa dan itu terlihat dalam perkuliahan.
Academic Support and Resources,The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,24,3.26,2,1,F,Biaya kursus dan biaya buku teks terlalu tinggi. Saya hampir tidak mampu membayar semuanya dan itu membuat saya sangat stres.
Academic Support and Resources,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,25,0.86,2,1,F,Saya sangat prihatin dengan ketidakjujuran akademik dan plagiarisme dalam mata kuliah ini. Profesor sepertinya tidak menganggapnya serius dan itu membuatku mempertanyakan integritas seluruh kelas.
Academic Support and Resources,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,16,3.3,2,1,F,Ada beberapa pelanggaran kode kehormatan dalam kursus ini dan itu sangat mengecewakan. Saya pikir ini adalah tempat pendidikan tinggi dan penghormatan terhadap integritas akademik.
Academic Support and Resources,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,26,3.34,2,1,F,Rubrik penilaian mata kuliah ini membingungkan dan tidak masuk akal. Saya tidak mengerti bagaimana nilai saya dihitung dan itu membuat saya sangat cemas.
